check_name,risk_rule,status,affected_rows,sample_transaction_ids,message,detected_at
high_value_no_auth,MISSING_STRONG_AUTH,FAIL,289,"[""493d846a-3023-4fff-96c9-a564f64bd510"", ""a52c57e9-e9d4-43c8-88cc-bdd5d82833d1"", ""0397f736-717a-40fc-b306-4072ef5de3a3"", ""f9b7043a-9274-46b8-bc28-0eea3170f734"", ""6d1a6984-667c-4132-91dc-891596d420c7""]",Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.344595
device_not_verified_or_trusted,UNVERIFIED_OR_UNTRUSTED_DEVICE,FAIL,787,"[""8fc934c6-6fae-4bf4-a0d2-99ec8cdad008"", ""e50bd485-9e80-4971-919d-102f0d27ce90"", ""493d846a-3023-4fff-96c9-a564f64bd510"", ""ad1ad495-6d04-4228-b8be-ae959f648df5"", ""a52c57e9-e9d4-43c8-88cc-bdd5d82833d1""]",Transaction used unverified or untrusted device,2025-07-16T14:18:36.353293
daily_sum_no_auth,NO_STRONG_AUTH_IN_HIGH_VOLUME_DAY,FAIL,217,"[""493d846a-3023-4fff-96c9-a564f64bd510"", ""0397f736-717a-40fc-b306-4072ef5de3a3"", ""f9b7043a-9274-46b8-bc28-0eea3170f734"", ""6d1a6984-667c-4132-91dc-891596d420c7"", ""c9aeedac-97d1-47a7-be3e-b5a5181fff3b""]",Total transaction > 20M/day but no OTP/BIOMETRIC used,2025-07-16T14:18:36.374904
